game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_07_SD_ATL,6.0,11,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.4872051652850777,,,Touchdown,,1
2016_07_SD_ATL,8.0,5,0.6,0.2,0.8,0.8306519758309466,50.0,,Touchdown,,1
2016_07_SD_ATL,11.0,4,0.0,0.75,0.25,-0.24692800105549406,,,End of half,,2
2016_07_SD_ATL,12.0,6,0.0,0.5,0.3333333333333333,-0.28244901696840846,,,Punt,,2
2016_07_SD_ATL,14.0,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,-0.3013595618411078,,,Punt,,0
2016_07_SD_ATL,16.0,14,0.5333333333333333,0.26666666666666666,0.4666666666666667,0.0871081150757768,,,Field goal,,1
2016_07_SD_ATL,18.0,8,0.25,0.375,0.375,-0.3490233740885742,,50.0,Turnover,,1
2016_07_SD_ATL,20.0,5,0.0,0.6,0.4,-0.08034734099637637,,,Missed field goal,,2
2016_07_SD_ATL,21.0,8,0.375,0.5,0.375,-0.5679082269198267,,,Turnover on downs,,1
2016_08_GB_ATL,1.0,13,0.23076923076923078,0.46153846153846156,0.38461538461538464,0.09163498122674923,,,Field goal,,1
2016_08_GB_ATL,3.0,5,0.0,0.6,1.0,1.0720245208944432,,,Touchdown,,1
2016_08_GB_ATL,5.0,8,0.375,0.25,0.625,0.17222536480403472,,,Field goal,,1
2016_08_GB_ATL,7.0,5,0.0,0.6,0.0,-1.188004603411536,,,Punt,,2
2016_08_GB_ATL,9.0,10,0.3,0.5,0.7,0.49428564834380523,,,Touchdown,,1
2016_08_GB_ATL,12.0,16,0.5625,0.3125,0.4375,0.3556183468719028,,,Touchdown,,1
2016_08_GB_ATL,14.0,4,0.25,0.5,0.25,-0.5653060696204183,,,Punt,,2
2016_08_GB_ATL,16.0,13,0.0,0.8461538461538461,0.7692307692307693,0.4605192911338077,,,Touchdown,,1
2016_08_GB_ATL,18.0,1,0.5,0.0,0.0,-1.107457851292565,,,End of half,,0
2016_09_ATL_TB,2.0,7,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.901941754271137,,,Touchdown,,1
2016_09_ATL_TB,4.0,4,0.0,0.75,0.25,-0.4712329586327547,,,Field goal,,2
2016_09_ATL_TB,6.0,8,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.1562265846878279,,,Field goal,,1
2016_09_ATL_TB,8.0,4,0.25,0.75,0.25,-1.0183728455012908,,,Turnover,,2
2016_09_ATL_TB,10.0,12,0.5,0.25,0.6666666666666666,0.5028177187475329,,,Touchdown,,1
2016_09_ATL_TB,12.0,6,0.0,0.8333333333333334,0.5,-0.06381357065401973,,,End of half,,2
2016_09_ATL_TB,13.0,14,0.35714285714285715,0.5,0.5714285714285714,0.385837987475896,,,Touchdown,,1
2016_09_ATL_TB,15.0,11,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.6181496085099497,,,Touchdown,,1
2016_09_ATL_TB,17.0,10,0.6,0.3,0.8,0.5104045603992364,,,Touchdown,,1
